,Building,Facilities,Facilities,Facilities,Facilities
0,Wan Chai District,,,,
1,時代廣場,mobility,,,
2,香港賽馬會博物館,mobility,hearing,,
3,時代廣場,mobility,hearing,mobility (parking),
4,渣甸坊,,,,
5,希慎廣場,,,,
6,麗悅酒店,,,,
7,麗都酒店,,,,
8,衛蘭軒,,,,
9,香港Lanson Place Hotel,,,,
10,金紫荊廣場,mobility,,,
11,銅鑼灣廣場一期,,,,
12,銅鑼灣廣場二期,mobility (parking),mobility,hearing,
13,銅鑼灣地帶,mobility,hearing,visual,locked facility
14,金百利,mobility,,,
15,東角,mobility,visual,locked facility,
16,利園,mobility,,,
17,利舞臺廣場,mobility,hearing,,
18,世紀香港酒店,mobility,hearing,,
19,利景酒店,mobility,,,
20,伊利沙伯體育館,mobility,hearing,visual,
21,香港會議展覽中心,mobility,hearing,visual,
22,皇室堡,mobility,,,
23,香港大球場,mobility,visual,,
24,香港演藝學院,mobility,visual,mobility (parking),
25,世貿中心,mobility,hearing,visual,
26,英皇駿景酒店,mobility,hearing,visual,
27,循道衛理聯合教會香港堂,mobility,,,
28,298電腦特區,mobility,,,
29,玩具街,mobility,mobility (parking),,
30,皇室堡電腦城,mobility,hearing,,
31,港島皇悅酒店,mobility,,,
32,灣仔電腦城,mobility,locked facility,,
33,香港怡東酒店,mobility,hearing,,
34,銅鑼灣快捷假日酒店,mobility,hearing,visual,locked facility
35,君悅酒店,mobility,hearing,visual,
36,灣景國際賓館,mobility,hearing,,
37,六國酒店,mobility,hearing,visual,mobility (parking)
38,富豪香港酒店,mobility,hearing,visual,
39,萬麗海景酒店,mobility,hearing,visual,
40,南洋酒店,mobility,hearing,visual,
41,衛蘭軒,mobility,,,
42,華美粵海酒店,mobility,hearing,,
